Integer,Entropy,PrimeDivisors,Cluster,ClusterName,UMAP1,UMAP2
3297,13.287712379549442,3,2,Composite Crest,10.377362,-1.7277874
3298,13.287712379549442,3,2,Composite Crest,10.386455,-1.7259392
3299,13.287712379549442,1,2,Composite Crest,10.4619055,-1.7050338
3300,13.287712379549442,4,2,Composite Crest,10.505693,-1.6939822
3301,13.287712379549442,1,2,Composite Crest,10.551364,-1.6817445
3302,13.287712379549442,3,2,Composite Crest,10.601346,-1.6681441
3303,13.287712379549442,2,2,Composite Crest,10.639958,-1.6587869
3304,13.287712379549442,3,2,Composite Crest,10.665272,-1.6539352
3305,13.287712379549442,2,2,Composite Crest,10.730647,-1.6382055
3306,13.287712379549442,4,2,Composite Crest,10.761747,-1.6317972
3307,13.287712379549442,1,2,Composite Crest,10.800737,-1.6230097
3308,13.287712379549442,2,2,Composite Crest,10.840135,-1.6150177
3309,13.287712379549442,2,2,Composite Crest,10.896553,-1.5922703
3310,13.287712379549442,3,2,Composite Crest,10.91847,-1.6000555
3311,13.287712379549442,3,2,Composite Crest,10.963333,-1.5921013
3312,13.287712379549442,3,2,Composite Crest,11.012643,-1.5823116
3313,13.287712379549442,1,2,Composite Crest,11.047496,-1.5789049
3314,13.287712379549442,2,2,Composite Crest,11.104365,-1.5701267
3315,13.287712379549442,4,2,Composite Crest,11.146165,-1.5632979
3316,13.287712379549442,2,2,Composite Crest,11.179248,-1.560067
3317,13.287712379549442,2,2,Composite Crest,11.216105,-1.5547522
3318,13.287712379549442,4,2,Composite Crest,11.260569,-1.5491577
3319,13.287712379549442,1,2,Composite Crest,11.288703,-1.5454949
3320,13.287712379549442,3,2,Composite Crest,11.310619,-1.5457133
3321,13.287712379549442,2,2,Composite Crest,11.36268,-1.5336292
3322,13.287712379549442,3,2,Composite Crest,11.399015,-1.5274736
3323,13.287712379549442,1,2,Composite Crest,11.440028,-1.5212657
3324,13.287712379549442,3,2,Composite Crest,11.476504,-1.5150573
3325,13.287712379549442,3,2,Composite Crest,11.5126095,-1.5107844
3326,13.287712379549442,2,2,Composite Crest,11.550402,-1.5051178
3327,13.287712379549442,2,2,Composite Crest,11.583402,-1.5010264
3328,13.287712379549442,2,2,Composite Crest,11.61556,-1.4966171
3329,13.287712379549442,1,2,Composite Crest,11.66167,-1.4902883
3330,13.287712379549442,4,2,Composite Crest,11.691981,-1.4858054
3331,13.287712379549442,1,2,Composite Crest,11.728972,-1.4809484
3332,13.287712379549442,3,2,Composite Crest,11.750669,-1.4776347
3333,13.287712379549442,3,2,Composite Crest,11.80294,-1.4689901
3334,13.287712379549442,2,2,Composite Crest,11.840031,-1.4623797
3335,13.287712379549442,3,2,Composite Crest,11.859458,-1.4609005
3336,13.287712379549442,3,2,Composite Crest,11.912092,-1.4501393
3337,13.287712379549442,2,2,Composite Crest,11.947773,-1.4436611
3338,13.287712379549442,2,2,Composite Crest,11.982513,-1.4372468
3339,13.287712379549442,3,2,Composite Crest,12.011911,-1.4313726
3340,13.287712379549442,3,2,Composite Crest,12.047523,-1.4236223
3341,13.287712379549442,2,2,Composite Crest,12.074132,-1.4173818
3342,13.287712379549442,3,2,Composite Crest,12.1245575,-1.4041315
3343,13.287712379549442,1,2,Composite Crest,12.156079,-1.395102
3344,13.287712379549442,3,2,Composite Crest,12.202178,-1.3811101
3345,13.287712379549442,3,2,Composite Crest,12.250973,-1.3588883
3346,13.287712379549442,3,2,Composite Crest,12.285786,-1.3564386
3347,13.287712379549442,1,2,Composite Crest,12.30734,-1.3506892
3348,13.287712379549442,3,2,Composite Crest,12.348504,-1.335432
3349,13.287712379549442,2,2,Composite Crest,12.355745,-1.3411988
3350,13.287712379549442,3,2,Composite Crest,12.394617,-1.3333197
3351,13.287712379549442,2,2,Composite Crest,12.42367,-1.3273436
3352,13.287712379549442,2,2,Composite Crest,12.468109,-1.3174434
3353,13.287712379549442,2,2,Composite Crest,12.495325,-1.3106933
3354,13.287712379549442,4,2,Composite Crest,12.517274,-1.3061879
3355,13.287712379549442,3,2,Composite Crest,12.56442,-1.2912576
3356,13.287712379549442,2,2,Composite Crest,12.624685,-1.2737819
3357,13.287712379549442,2,2,Composite Crest,12.645815,-1.2659217
3358,13.287712379549442,3,2,Composite Crest,12.694619,-1.2419146
3359,13.287712379549442,1,2,Composite Crest,12.726338,-1.2366993
3360,13.287712379549442,4,2,Composite Crest,12.748549,-1.2340918
3361,13.287712379549442,1,2,Composite Crest,12.805883,-1.2170514
3362,13.287712379549442,2,2,Composite Crest,12.842657,-1.2069918
3363,13.287712379549442,3,2,Composite Crest,12.88121,-1.1973506
3364,13.287712379549442,2,2,Composite Crest,12.923875,-1.1866909
3365,13.287712379549442,2,2,Composite Crest,12.961222,-1.1781154
3366,13.287712379549442,4,2,Composite Crest,12.992086,-1.1765623
3367,13.287712379549442,3,2,Composite Crest,13.051743,-1.1557622
3368,13.287712379549442,2,2,Composite Crest,13.08201,-1.148866
3369,13.287712379549442,2,2,Composite Crest,13.114945,-1.1405535
3370,13.287712379549442,3,2,Composite Crest,13.1654415,-1.1302824
3371,13.287712379549442,1,2,Composite Crest,13.1949835,-1.1253872
3372,13.287712379549442,3,2,Composite Crest,13.233691,-1.1192678
3373,13.287712379549442,1,2,Composite Crest,13.273801,-1.1134944
3374,13.287712379549442,3,2,Composite Crest,13.295997,-1.1103613
3375,13.287712379549442,2,2,Composite Crest,13.348408,-1.1045914
3376,13.287712379549442,2,2,Composite Crest,13.387605,-1.1004823
3377,13.287712379549442,2,2,Composite Crest,13.426538,-1.096421
3378,13.287712379549442,3,2,Composite Crest,13.480612,-1.087021
3379,13.287712379549442,2,2,Composite Crest,13.50321,-1.0910616
3380,13.287712379549442,3,2,Composite Crest,13.564942,-1.0845009
3381,13.287712379549442,3,2,Composite Crest,13.592203,-1.0859001
3382,13.287712379549442,3,2,Composite Crest,13.644372,-1.0826432
3383,13.287712379549442,2,2,Composite Crest,13.643303,-1.0848286
3384,13.287712379549442,3,2,Composite Crest,13.686816,-1.0809149
3385,13.287712379549442,2,2,Composite Crest,13.707415,-1.0796887
3386,13.287712379549442,2,2,Composite Crest,13.746036,-1.0771189
3387,13.287712379549442,2,2,Composite Crest,13.795174,-1.0684186
